x,y
662073.8626853334,-1440537.5871666668
663039.7445026668,-1440076.0135
663845.8837086667,-1445007.96625
664766.9299526666,-1449919.0775833332
665644.2252466666,-1454838.1013333334
666534.4489673333,-1459753.3288333334
666675.198918,-1460743.0488333334
666831.9550866666,-1461729.537
667368.0481253333,-1464679.7505833334
664031.545832,-1439915.5670833334
664889.3787913334,-1444840.8729166666
665762.5353786667,-1449763.191
666632.4892086666,-1454686.1555833332
667497.267414,-1459608.9701666667
668014.3586166668,-1462563.2428333333
668177.542118,-1463549.65975
668356.9411213333,-1464533.29225
669516.9540006666,-1465221.7896666666
669329.5610833333,-1464239.9981666666
668464.7549593333,-1459317.9644166667
667610.5847066668,-1454394.1414166666
666740.427828,-1449472.15225
665835.21059,-1444559.2009166668
664945.041998,-1439640.76425
670352.3882546667,-1464571.0928333334
670188.3443713333,-1463584.8581666667
670014.915584,-1462600.1520833333
669858.6132953333,-1461612.77825
669677.7615833334,-1460629.8
669492.4234180001,-1459647.38825
669329.280374,-1458660.8608333333
669167.3927493334,-1457674.1956666666
668999.794508,-1456688.4298333332
668821.6792886667,-1455704.4821666668
668644.2840326667,-1454720.4120833334
668465.66371,-1453736.6445833333
668301.5723353333,-1452750.4871666667
668135.1158446666,-1451764.6305833333
667970.899886,-1450778.2743333334
667789.5470366667,-1449794.9936666666
667607.93663,-1448811.78375
667443.3496733333,-1447825.5045833334
666914.5012486666,-1444873.9988333334
666018.885084,-1439956.299
671348.9537913334,-1464375.5170833333
670485.7757593334,-1459452.0354166667
669641.4546246667,-1454524.2745833334
668752.3496626667,-1449605.44125
667921.2405826667,-1444676.832
667724.8109133332,-1443696.67125
667549.0300040001,-1442713.8448333333
667387.69704,-1441728.1875
667186.326172,-1440748.9825
667014.616256,-1439764.0434166666
666848.1734993334,-1438778.3314166667
666661.1955886667,-1437796.4145833333
668032.2768766667,-1439639.998
668907.9302926667,-1444561.4681666666
669759.478748,-1449485.8453333334
670620.7619566666,-1454403.5693333333
671522.8868786667,-1459314.96625
672346.5140006666,-1464241.2263333334
668938.6892986667,-1438971.7491666668
669818.0814533334,-1443890.11175
670650.8581279999,-1448818.3079166666
671557.3751726666,-1453734.2020833334
672404.1908766666,-1458659.9366666668
674273.790416,-1463724.9303333333
673437.7476646666,-1458797.3811666667
672583.2600453333,-1453874.767
671711.5796593333,-1448953.85975
670832.807874,-1444034.88075
669948.1667106666,-1439115.8315
