x,y,ridge_diff_velocity_scaled
665708.7837914322,-1460046.5833170402,-10.911822341533261
664975.8046229468,-1460204.9324048876,5.106764053061431
664239.3323851884,-1460345.5089503531,7.9712285617372105
663499.0846848517,-1460465.2177726456,6.976730074366735
662757.2916665396,-1460572.5367182132,8.85435191933846
662009.2919744035,-1460606.751480138,11.873468379297991
661265.9240065081,-1460675.9432298222,7.178586352727631
660543.4915543953,-1460871.4878273674,-5.282020699860007
659830.9287028844,-1461104.2403779954,4.749043133694421
659100.4244990697,-1461267.3608180746,2.0420256160041106
658359.5372018518,-1461383.0553773714,2.597894338453008
657618.5415148227,-1461497.852912268,-0.22700274545816512
656884.5889012545,-1461650.1799138968,4.5945211648429485
656149.8345100665,-1461797.9646255171,-1.0620930082828757
655406.0491417055,-1461890.7400983162,0.20766083664014356
654897.327115319,-1459926.3906236796,-7.028556290856509
663757.5065597751,-1458366.261659078,-9.328234288811974
664499.7767956733,-1458259.3847185024,-7.554063094247601
668923.4532257684,-1457444.6438026207,7.975360923800075
676308.1683984941,-1456169.863184505,-10.371441491842141
654859.9096817658,-1458921.599239302,-12.200698057336044
662980.9764365541,-1457491.76168071,-5.419141474576618
663719.5031400386,-1457361.6656259708,-4.024694250233546
668887.9380042822,-1456453.6816678771,4.6978422747809025
676271.6323094314,-1455155.6664376939,-16.559800008505405
675955.1487729709,-1454198.0853312497,-8.54558917321834
669308.6657119817,-1455372.4940982647,8.019278849401054
668569.2653397307,-1455497.6301050468,3.8232134725912847
662660.8935808444,-1456530.396485058,-11.525565636315088
655274.6248063182,-1457818.3472428413,-6.841691410190525
654540.0455667727,-1457968.5598888143,-0.8490184404958185
675767.2087389713,-1453199.3451118967,5.563622102031784
675032.8414255162,-1453351.0366836977,-0.13461256061641258
674295.3103808155,-1453485.8171697033,-23.814025675249127
673556.7387093406,-1453615.6034183921,-6.798192832472507
672818.5473646792,-1453747.7095529055,-14.4119629790447
672080.0875848475,-1453878.0437022313,-0.7489256353548432
