x,y,ridge_diff_velocity_scaled
668655.8056937592,-1459504.1092107687,7.083242600002446
668414.8288164027,-1459570.617422017,4.428017287509282
668172.7156025043,-1459632.6741152788,-1.184180790960451
667928.8595389901,-1459687.5797933207,2.3400307174056207
667683.8075387533,-1459736.9527538063,2.1949540627091433
667437.8058210929,-1459781.3393718724,2.040506662090448
667191.0533676968,-1459821.4261816312,-2.277919621556257
666943.7213094251,-1459857.7532471076,2.669563893166603
666696.0196888461,-1459891.5289399505,1.131528788986127
666448.1495875113,-1459924.0590661874,4.064239261725141
666200.3021059894,-1459956.7283547758,3.8029531694156353
665953.3597508653,-1459995.1423083676,6.598110571361586
665708.163372041,-1460043.4380700246,5.907945909938382
665464.207831999,-1460098.0243257124,7.099367857379458
665220.4131427832,-1460153.3507076814,5.056748657588578
664976.0337467064,-1460205.9867175466,3.8581197886026626
664731.1961031102,-1460256.514102094,3.644195475072265
664486.0207548825,-1460305.2988999449,3.895814818356622
664239.8515002823,-1460348.6282922756,4.01448249463115
663992.6440154946,-1460385.7190007614,6.60242787755544
663745.4594576915,-1460422.9147543102,6.9373038505449935
663499.0551927021,-1460465.0093985384,3.6397638145528894
663252.7099120119,-1460507.5207909811,5.107850291626752
663005.7311401949,-1460546.1531004186,7.560603262936025
662757.8422102077,-1460577.92647759,8.672655146052481
662508.8521928847,-1460598.9203360078,5.1522472213662756
662259.1401942306,-1460607.3012759858,8.598810289262051
662009.2291182332,-1460605.111195124,4.1298173684692685
661759.4437545765,-1460606.2016842898,2.5102681677996808
661510.826940291,-1460627.0742500478,-0.4978232641986544
661264.725173537,-1460669.4277347513,-0.7984483054724416
661021.0210727254,-1460724.8122095966,-3.7072340841257008
660780.1196123529,-1460791.0478441154,-5.505699889463745
660542.7931576326,-1460869.2894172824,1.3147629230529554
660306.8634964376,-1460951.9278106194,-2.6429432821080585
660070.3697049951,-1461032.9347694814,4.85188778032522
659832.4334914298,-1461109.4695761257,3.102821844610915
659591.4877007736,-1461175.5459865099,5.465413878222822
659347.265945564,-1461228.2126605648,2.8987807616609214
659100.8352151513,-1461269.8137642802,1.1523331133881047
658853.5830525752,-1461306.508975584,0.9288124245290703
658606.6411908414,-1461345.24267679,0.3177472839765336
658359.787701408,-1461384.6768024792,1.0469795583266475
658112.4332128622,-1461420.8680779524,3.714493219797406
657864.8930324494,-1461455.8185933514,1.0957627196676718
657617.8452811012,-1461493.9126086845,-1.4569026767291575
657372.1899971962,-1461539.887231184,-1.3152329825002909
657127.9475114121,-1461593.0706867008,-0.2510248549068894
656884.6924751799,-1461650.6616411896,-0.0805539658978196
656641.2302910968,-1461707.2891410927,12.343317773540335
656396.5780914099,-1461758.5945752873,0.002038484867960655
656150.607917397,-1461802.8212759313,15.598210186799303
655903.0909287231,-1461837.3346757472,0.22044282101576407
655654.571841396,-1461864.2325845764,2.0400387135189537
655405.7500027164,-1461888.2592237785,-10.247659967620782
655157.5264420152,-1461917.247612056,1.2101531543564379
654910.8280382755,-1461957.064583003,0.2032029777688571
654653.1394603231,-1459979.4360842232,-7.525180286612796
654896.4988369682,-1459922.3274808838,-7.376711489065004
655141.514770315,-1459873.3451631363,-7.5908584604276435
655388.4894656476,-1459835.1128474935,-7.281013270188025
663510.3386296224,-1458403.6585685543,-11.402501172173737
663757.3268562222,-1458365.0106362822,-11.991568643754784
664004.674489928,-1458328.8647496018,-11.6830470948045
664252.4050417907,-1458295.3479462098,-10.52155787726544
664500.0385114487,-1458261.1013522167,-11.9366128865145
668923.5262949134,-1457445.028877424,4.4944593978652625
669169.3504439451,-1457399.5713071532,4.432127869960801
669415.1680495065,-1457354.0850278554,4.18321213561024
669661.153893105,-1457309.5083594432,-1.094396788998635
675815.7075071196,-1456255.491624343,-2.5021378775758194
676062.4652890604,-1456215.9012235287,-2.1016638233855183
676308.4063651217,-1456171.119163014,-8.319775483853975
676553.8715079279,-1456123.8251454812,-10.973773482915822
654615.8954769293,-1458975.3960913892,-9.935897435897434
654859.6035982411,-1458920.0076135986,-10.729585500192695
655103.9238866022,-1458867.8023872152,-7.958036372573111
655350.533551074,-1458827.622531376,-7.159121308322672
662980.9822176187,-1457491.7968456738,-5.678454931009192
663226.8177762639,-1457446.365191794,-5.611159600879979
663472.7569737912,-1457401.5034852827,-6.236572084972101
663719.164901227,-1457359.514012686,-7.091615436422419
668641.0577804284,-1456492.6758749003,-24.962338512231373
668887.5790190228,-1456451.617247121,-24.654616277939894
669134.818228136,-1456414.6874608537,-23.693432714947768
669381.6146138222,-1456374.9281892676,-29.699681365347185
675780.6217708319,-1455248.520027653,-12.877534990885417
676026.7682256887,-1455205.657563158,-14.626008916739853
676271.4840740085,-1455155.0198735886,-16.386490088131026
676516.4963931742,-1455105.67531223,-13.27798800778399
676201.514185581,-1454155.6290276789,-11.636227837984976
675955.1037377864,-1454197.826817452,-9.63726784399397
675708.7833603609,-1454240.5416348206,-10.285521147456503
675462.6246457738,-1454284.186703624,-8.3137483454221
669308.829684131,-1455373.412503141,-7.219892764923511
669062.8270614168,-1455417.8479088412,-9.180639151619378
668816.3225201722,-1455459.45965058,-8.866951388640697
668569.4677160728,-1455498.9479446795,-2.1987286339014753
662907.3588463776,-1456488.6436477758,-11.411978551606238
662660.5828029773,-1456528.5921287013,-9.950618869218498
662414.4283153113,-1456572.14932234,-8.93899486281895
662168.466955528,-1456616.8564322137,-7.263892557107868
655274.3175626555,-1457816.710680141,-4.918619448390847
655028.5610626541,-1457862.3986487908,-2.8368325852986676
654783.8652437803,-1457913.504639246,-0.6912770925060716
654540.0928313836,-1457968.893521739,0.40684036861557793
676012.5378999774,-1453151.6235878495,-1.278653908223097
675766.8347534797,-1453197.178227369,4.2804914511857195
675521.879577965,-1453247.0666359437,-1.5062177676412407
675277.5247665315,-1453299.8645602502,-3.4608408429043713
675033.1712443251,-1453352.642930467,-1.3032843678645722
674788.1580845006,-1453402.2088071457,-8.99427359135812
674542.0191633096,-1453445.70241401,-11.836563210631114
674295.0304540714,-1453484.205412675,-6.716121626047379
674048.6015983215,-1453525.9319253964,-12.786744013491742
673802.8159762616,-1453571.5526351715,-3.894990574973617
673556.8669750871,-1453616.3253091737,-5.037740986828716
673310.6614424195,-1453659.6542016126,-4.33494779953409
673064.5074284924,-1453703.2762234258,-8.899303425864474
